Gene,Correlation,P_Value
CYP51A1,0.2274163768591599,0.18223712849143284
FKBP4,-0.04433355758563057,0.7973796155499134
SLC25A5,-0.13328830050335566,0.4383554026233376
MPO,0.4519316877964349,0.005656970568786109
ABCC8,-0.272575485784042,0.10775704729669204
ALDH3B1,-0.1340333428176399,0.4357766783073509
ARSD,0.05267803196261776,0.760270569305002
PNPLA4,0.2247887332698599,0.1874781875900224
NOS2,-0.326369992256048,0.05205503297445831
FMO3,0.7923667696108283,8.501429425183658e-09
MYLIP,-0.5969770995518258,0.0001213580786657622
MGST1,0.7550208585350633,1.0336029106291848e-07
UBE3C,0.04245641643956945,0.8057913201103064
SLC6A13,0.8915076578177948,3.071430817316436e-13
SLC6A7,-0.35655724456948445,0.03279700838077443
PIK3C2A,0.1041511585252367,0.5455108738865566
UBR7,-0.03444451898172169,0.8419244519263578
MAN2B2,0.320160658035402,0.056960041991424994
RNF14,0.2020000958544021,0.23742237169098657
CYP24A1,-0.00997650729400995,0.9539494662865556
UBR2,0.11022990890418222,0.5221770854624073
HSD17B6,0.8006400302161837,4.561924181657877e-09
TYMP,0.41976864210729964,0.010813326372081107
KPNA6,-0.0597520640799172,0.7292154109481858
PNPLA6,-0.1542469078112586,0.3690726853729486
SLC4A7,-0.2787391745010424,0.09971786575823136
RNF19A,0.5608628463060675,0.00037347278876840526
METTL1,-0.01949237674334883,0.9101595358212733
PNKP,-0.08023275766646244,0.6418180469692165
PARP3,-0.055503378949233524,0.7478198675205543
PHKA2,0.5114762110636721,0.001431437450835931
SLC4A8,-0.26961337092930965,0.11179054168908459
PIK3CB,0.03753312520529178,0.8279531109390418
PHPT1,-0.3264603186342735,0.05198625493858737
PARP12,0.004216997254846325,0.9805262868730664
MTMR1,0.10918203477273059,0.5261641887284864
ATP2C2,-0.5162316723754107,0.0012687084702195435
CTSA,-0.24205601840217775,0.15492968300641294
OAT,0.0004929089866023001,0.9977235778035456
PDE4A,-0.4136433800921576,0.012151235239368143
PFKP,-0.3360722661598537,0.04507191838239901
PHKA1,-0.02488868221184371,0.8854340964150916
ATP2B3,-0.18207009044337333,0.2878808442543143
INPP5A,-0.13252285577443548,0.4410134458291597
ATP11A,0.1726271167777376,0.3140342731176081
PYGM,-0.11517910554090423,0.5035483880388846
ABCC9,0.7189989213456442,7.822504900194644e-07
NEDD4,0.5890805366325848,0.00015695164082206542
GBA2,-0.14740921701010568,0.390924372479925
CHAT,-0.16822748916425367,0.3267132345615787
SLC12A3,0.21326508476884778,0.21171680011245597
RAD18,-0.15284859686979546,0.3734812652324211
ATP6AP1,-0.22820272204488545,0.18068907113751645
SLC6A15,-0.22705097306085445,0.18295967695571777
RDH11,0.42265182185923755,0.0102281899978636
TRHDE,0.06109828220891877,0.7233515514227371
ACAT1,0.7412710909844412,2.3265569690939815e-07
ATP12A,0.08424643227522075,0.6251890864448698
UBE2A,-0.39998258638434175,0.01564626666793591
UBE2K,0.08831535674386344,0.6085152193531692
PIK3C3,0.02661957451408218,0.8775246780782873
ADCY2,-0.3575363840124596,0.03228683211071923
ITCH,0.32152878771934956,0.0558489490852805
FKBP7,-0.01614464813693964,0.9255419283551992
SLC4A4,0.08185340219179824,0.6350823330313329
RDH8,-0.0763641653296277,0.6580100757456706
CNOT4,-0.0802487360409278,0.6417514990067776
PLOD1,0.20477788682007098,0.23089670360706557
CYLD,0.21730333163447468,0.20298853374714224
PPIE,-0.11191431210175731,0.5157992676370294
GSTP1,-0.4231608442729561,0.010127731544786878
PREP,-0.2822403682820003,0.0953594947826182
SEH1L,0.18645582665482235,0.2762260922607895
AKR1B1,0.2154714254783707,0.20691646671793937
USP40,0.4378315768402164,0.007571725336360371
SEPHS1,0.23259276489496455,0.1722177105883271
MTMR2,-0.5859906907803356,0.00017325613931605297
ACHE,-0.01587720355723153,0.9267720239655017
CRLS1,0.15420077262434298,0.36921764484447644
SMOX,0.0430507679380721,0.8031255859034072
FKBP1A,-0.4271105242070429,0.00937635862801499
BRAP,-0.12197522825973062,0.4785255666617324
SI,-0.34379252874266764,0.04007187817118942
MUL1,0.12105601041861955,0.48187163448020764
PDPR,-0.19598134406729306,0.25198541543949565
SLC7A8,-0.13115614673487067,0.445781268362984
RNF31,0.1813050732814946,0.28994578141089034
CAPN3,0.17005296820921662,0.3214144942479135
