Gene,Correlation,P_value,Abs_Correlation
SERPINA3,0.4852332108882163,1.0694598275893032e-64,0.4852332108882163
ALB,0.46247570652230924,3.497103391292772e-58,0.46247570652230924
CYP27A1,0.44856893428609673,1.945616687771611e-54,0.44856893428609673
APOC1,0.4484513047246658,2.0893135579082075e-54,0.4484513047246658
FMO3,0.4481594185110388,2.4931106358714463e-54,0.4481594185110388
CYP8B1,0.44076585057987355,2.0693359294812108e-52,0.44076585057987355
GSTA1,0.42716415444179706,5.305347376387592e-49,0.42716415444179706
INMT,0.426108166249921,9.614262294665071e-49,0.426108166249921
CYP2C8,0.4259364249706407,1.0588201012627447e-48,0.4259364249706407
ACMSD,0.42321355995702575,4.852834670112578e-48,0.42321355995702575
ADH1A,0.4136812239830558,8.982180888405448e-46,0.4136812239830558
SLC6A1,0.4134704881112463,1.0062050522061855e-45,0.4134704881112463
ADH1B,0.4062973345043558,4.571740667511739e-44,0.4062973345043558
ALDH8A1,0.4055086443799932,6.916027557417727e-44,0.4055086443799932
PTGIS,0.4039501936675933,1.5619734412229755e-43,0.4039501936675933
SERPINA1,0.4035731949176044,1.900998823878705e-43,0.4035731949176044
CES1,0.40269498086817607,3.0011029216047008e-43,0.40269498086817607
F2,0.4012283746046324,6.413777185726439e-43,0.4012283746046324
PIP5K1A,0.3989017416399566,2.123142835228549e-42,0.3989017416399566
PLG,0.3810889076715414,1.4862429925248424e-38,0.3810889076715414
CA5A,0.3805211894578474,1.9533493026058178e-38,0.3805211894578474
CYP1A2,0.38003862404797945,2.4631057073780614e-38,0.38003862404797945
ALDH4A1,0.37691201243371436,1.0961254419603285e-37,0.37691201243371436
SMURF1,0.37624818116805636,1.5017995006735553e-37,0.37624818116805636
CYP2A6,0.3753222121416668,2.327206674295468e-37,0.3753222121416668
PTGR1,0.3744627214641036,3.4901956637416074e-37,0.3744627214641036
BCHE,0.37408491309586495,4.169205904288468e-37,0.37408491309586495
AKR1C4,0.3705982862207826,2.126748795273294e-36,0.3705982862207826
UBE2Q1,0.37053793587376577,2.1872022505790028e-36,0.37053793587376577
ATP2B2,0.3685285939024182,5.5424421364672295e-36,0.3685285939024182
LPCAT3,0.36801749771144404,7.013889818985106e-36,0.36801749771144404
DHTKD1,0.36436133251734243,3.733376617553677e-35,0.36436133251734243
CYP4A11,0.3631342510382853,6.511910410733118e-35,0.3631342510382853
PI4K2A,0.3617115745770585,1.237403487748174e-34,0.3617115745770585
PC,0.361588734122801,1.3077308308552357e-34,0.361588734122801
DHODH,0.36102184235097823,1.6872194200863687e-34,0.36102184235097823
HSD17B6,0.3598480594530061,2.8548043389380232e-34,0.3598480594530061
RNF146,0.35577189728788766,1.7432368234398856e-33,0.35577189728788766
DDAH2,0.35561241439628766,1.8701143803644047e-33,0.35561241439628766
DPYD,0.35277320057242106,6.488494674070499e-33,0.35277320057242106
CTSZ,0.35266837285780034,6.791822211128306e-33,0.35266837285780034
SLC39A1,0.34806815269319624,4.958983611194812e-32,0.34806815269319624
AKR1C1,0.34768070453918243,5.854078039135008e-32,0.34768070453918243
PPP1R3B,0.34700834931564106,7.803284520082245e-32,0.34700834931564106
CTSD,0.34656168937377707,9.441243430654489e-32,0.34656168937377707
CYP2C9,0.34633952123948064,1.0378626585961787e-31,0.34633952123948064
RDH16,0.3460936342989583,1.1523938483342264e-31,0.3460936342989583
GALNT2,0.34443257777605624,2.331551033536384e-31,0.34443257777605624
SIAH2,0.34335133521828726,3.6801727869774084e-31,0.34335133521828726
DHRS3,0.3431830340000755,3.950504178101455e-31,0.3431830340000755
UBE3B,0.34194724322083164,6.639193483246998e-31,0.34194724322083164
USP21,0.3418232102918157,6.993398392078753e-31,0.3418232102918157
CYP2D6,0.34133465370788185,8.580289785426235e-31,0.34133465370788185
KMO,0.3407380640980009,1.1008794012478465e-30,0.3407380640980009
FAM20B,0.3405162023288295,1.2076228911797506e-30,0.3405162023288295
TPP1,0.3394115990670064,1.9122796360252214e-30,0.3394115990670064
AMDHD1,0.33873447134198936,2.5323307973619113e-30,0.33873447134198936
CYB5R3,0.331615804828488,4.650966676170071e-29,0.331615804828488
GAA,0.3314593647946851,4.95392535741387e-29,0.3314593647946851
GLUD1,0.3308464341856275,6.341230809185508e-29,0.3308464341856275
PLOD1,0.32908494481197537,1.2851859724489762e-28,0.32908494481197537
AKR1C2,0.3271885558976176,2.7353304348751642e-28,0.3271885558976176
CNDP1,0.325861996186446,4.624924500432747e-28,0.325861996186446
DHRS2,0.3255143607190576,5.305075812169363e-28,0.3255143607190576
SUOX,0.3246327235749338,7.506924462600949e-28,0.3246327235749338
CPT2,0.3241548816621887,9.05671029660496e-28,0.3241548816621887
ATP11A,0.3234213693755262,1.2072737913539598e-27,0.3234213693755262
ACADL,0.3215728907573394,2.482395811003477e-27,0.3215728907573394
WWOX,0.3207115018581564,3.467490660340762e-27,0.3207115018581564
NAGLU,0.3179605809559739,1.0009024606923794e-26,0.3179605809559739
TM7SF2,0.3177250898440632,1.0954167453402307e-26,0.3177250898440632
CYP4F11,0.3174936520927573,1.1969013125921764e-26,0.3174936520927573
ENO3,0.3174689430232246,1.2082713781813542e-26,0.3174689430232246
PIK3C2A,0.31590491669036863,2.194270130202051e-26,0.31590491669036863
UBE2H,0.315654363364346,2.4135604245384057e-26,0.315654363364346
PLA2G4C,0.31497119911283683,3.127898879145308e-26,0.31497119911283683
UROC1,0.3146320575936481,3.5566307743113515e-26,0.3146320575936481
ADH4,0.31333234635898694,5.809819887905234e-26,0.31333234635898694
FKBP2,0.31303735820157397,6.492124030589358e-26,0.31303735820157397
SLC2A14,0.31231483116067243,8.516756956256089e-26,0.31231483116067243
VKORC1,0.30902785730533744,2.900451184842156e-25,0.30902785730533744
CHST11,0.3083279883331949,3.7576223034499554e-25,0.3083279883331949
PNPLA7,0.30761105166798003,4.895398713893132e-25,0.30761105166798003
AGPAT1,0.30727169327454,5.546928395809607e-25,0.30727169327454
PMVK,0.3070785341902083,5.9553527525615e-25,0.3070785341902083
HAS3,0.30626569046258545,8.0259624132557065e-25,0.30626569046258545
ATP6AP1,0.3048181827895589,1.3622596952031027e-24,0.3048181827895589
PDXP,0.3031616669304393,2.48665650992528e-24,0.3031616669304393
QDPR,0.29973808939435564,8.519968768406196e-24,0.29973808939435564
SIRT5,0.2988761255903657,1.1586807620949155e-23,0.2988761255903657
SLC6A6,0.29852801442831295,1.311478115299939e-23,0.29852801442831295
FHIT,0.29825166715540785,1.4468229614605597e-23,0.29825166715540785
RNF25,0.2973750966013204,1.97427406972001e-23,0.2973750966013204
BCKDK,0.2967704751529257,2.4448232390722167e-23,0.2967704751529257
PPIL2,0.29486660355018085,4.7768526085975384e-23,0.29486660355018085
SCNN1D,0.2946475455887088,5.157881055901572e-23,0.2946475455887088
PLCB2,0.29319839713936713,8.555173138302795e-23,0.29319839713936713
CDC34,0.2919345971888059,1.326925749308991e-22,0.2919345971888059
ZDHHC8,0.2893412066807921,3.2434228625764285e-22,0.2893412066807921
ABCC9,0.28926175245750707,3.332974902436171e-22,0.28926175245750707
SLC25A20,0.28925925046548007,3.3358342042034854e-22,0.28925925046548007
FPGS,0.2892414852755123,3.3562062767529474e-22,0.2892414852755123
HMGCS1,0.28859734650454094,4.184037016875128e-22,0.28859734650454094
SLC2A1,0.28859624884388135,4.1856071724352675e-22,0.28859624884388135
CPA2,0.288220052873692,4.759514158953756e-22,0.288220052873692
MAN2B2,0.28717695557122175,6.789725412373034e-22,0.28717695557122175
SCD,0.28663322717393563,8.166214812972215e-22,0.28663322717393563
CBR1,0.28586770860359356,1.0582606322855805e-21,0.28586770860359356
ARSD,0.2857576205257248,1.0983804423574353e-21,0.2857576205257248
USP5,0.28543634376636856,1.2242575882906666e-21,0.28543634376636856
GSTZ1,0.28470279885178,1.5675757480808083e-21,0.28470279885178
CHST15,0.284375467233106,1.7499725262951728e-21,0.284375467233106
CYP2C19,0.28389929146782805,2.053323864606962e-21,0.28389929146782805
