,drug,target,pathway
1,(5Z)-7-Oxozeaenol_1242,"MAP3K7,  TAK1, TGF1a","MAPK signaling pathway,NF-kappa B signaling pathway,AMPK signaling pathway,Wnt signaling pathway,TNF signaling pathway,	IL-17 signaling pathway"
2,16-beta-bromoandrosterone,NA,dehydroepiandrosterone (DHEA) analog
3,"1S,3R-RSL-3",GPX4,synthetic lethal with HRAS in engineered cells;  of GPX4
4,3-Cl-AHPC,NR0B2,binder of nuclear receptor SHP
5,5-Fluorouracil_1073,"DNA ,RNA,TYMS","Capecitabine Action Pathway,Fluorouracil Action Pathway,pyrimidine analog; inhibitor of thymidylate synthase"
6,5-Fluorouracil_179,"DNA ,RNA,TYMS","Capecitabine Action Pathway,Fluorouracil Action Pathway,pyrimidine analog; inhibitor of thymidylate synthase"
7,glutaminase inhibitor 968,GLS,inhibitor of glutaminase
8,A-443654_86,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
9,A-770041_55,"LCK, FYN",FLT3 signaling through SRC family kinases
10,A-804598,P2RX7,inhibitor of purinergic receptor P2X
11,A-83-01_477,"TGFB,ALK5,ALK4,ALK7",NA
12,AA-COCF3,"FAAH,PLA2G4A,PLA2G4B,PLA2G4C,PLA2G4D","effector of arachidonic acid metabolic process,inhibitor of phospholipase A2 activity"
13,abiraterone,CYP17A1,"inhibitor of 17 alpha-hydroxylase and C17,20 lyase"""
14,ABT-199,BCL2,inhibitor of BCL2
15,ABT-737,"BCL2, BCL-XL, BCL-W, BCL-B, BFL1",Apoptosis regulation
16,ABT737_1910,"BCL2, BCL-XL, BCL-W, BCL-B, BFL2",Apoptosis regulation
17,AC55649,"RARA,RARB","agonist of retinoic acid receptor beta,retinoid receptor agonist"
18,Acetalax_1804,"TNFa, TNFR1"," autocrine receptor-mediated apoptosis,OXY delivered intraperitoneally inhibited tumor growth, accompanied by phosphorylation of eIF2¦Á and degradation of TNFR1. OXY induces a multifaceted cell starvation response, which ultimately induces programmed cell death"
19,ACY-1215_264,HDAC6,Chromatin histone acetylation
20,afatinib,"EGFR,ERBB2","MAPK signaling pathway,ErbB signaling pathway,inhibition of EGFR and HER2"
21,Afatinib_1032,"EGFR,ERBB3","MAPK signaling pathway,ErbB signaling pathway,inhibition of EGFR and HER3"
22,Afatinib_1032,"EGFR,ERBB4","MAPK signaling pathway,ErbB signaling pathway,inhibition of EGFR and HER4"
23,Afatinib_1377,"EGFR,ERBB5","MAPK signaling pathway,ErbB signaling pathway,inhibition of EGFR and HER5"
24,Afuresertib_1912,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
25,AGI-5198_1913,IDH1 (R132H),metabolism
