"","dabrafenib","axitinib","brivanib","cabozantinib","cetuximab","linifanib","ponatinib","sunitinib","tivozanib","group"
"CRC0024LMH0000000000R10000",2.66813858806618,1.58753742236682,3.69247051945626,1.53844630954618,5.97638165733207,1.4777740444921,-0.921860645439462,1.7321950423514,-0.318674545663226,"high"
"CRC0028LMH0000000000R02000",3.3509375098168,1.71692578746472,3.74819127117287,2.06600732128998,6.31175873062073,1.76953136677343,-0.301777008524397,1.97165765905378,-0.011347897463577,"low"
"CRC0031LMH0000000000R02000",3.75053571624593,2.41392867564799,4.60489892707783,3.06204287094046,6.20098817558231,2.4879808073013,1.10106189417597,3.1862643959698,0.541499381367997,"low"
"CRC0050LMH0000000000R02000",3.25246706900793,1.11151089171223,3.3031580395364,2.30276497644154,5.83464685460681,1.89105711474405,-0.000408007490191764,2.08872125140861,-0.170385400208516,"high"
"CRC0051LMH0000000000R02000",3.81637291629548,2.13596775905674,3.66302812503426,2.72443092351776,6.28804459864743,2.18448170407663,0.497296876143478,2.16340623126019,0.410243451787678,"low"
"CRC0053LMH0000000000R02000",4.14181946736387,1.87840366632764,3.34317822021478,2.53873036678773,6.33782004935005,2.27899781687893,0.0536645927355686,2.27187180181848,0.279877980212035,"low"
"CRC0054LMH0000000000R02000",4.17965463883378,2.54063582437344,4.65838994564811,3.13432017509329,6.02996350689097,2.50670244739721,1.06271223621834,3.09265143627925,0.599193758687949,"high"
"CRC0057LMH0000000000R02000",3.98088437604372,2.4878709823837,4.50265465838247,3.09144794073333,6.09930299681895,2.67643923171809,1.05333932119354,3.16673982939709,0.635630677051903,"low"
"CRC0071LMH0000000000R01000",1.9644599790591,1.12115409786281,3.22745390755239,1.65209646155183,6.02243640609081,1.28472566113527,-2.28247927481674,0.964730199795596,-0.532904900645901,"high"
"CRC0072LMH0000000000R01000",3.72682104788465,2.09362608418813,4.49203962146569,3.08292830938008,6.21546129572754,2.37195600603565,0.711471773494091,2.94142918137325,0.426766580992751,"low"
"CRC0076LMH0000000000R02000",4.03147188993309,2.49049316248821,4.72741263194147,3.07288516613074,5.91288139259996,2.56092067206963,1.27543264573091,2.9938125754303,0.573388835455381,"low"
"CRC0077LMH0000000000R01000",2.74729201754864,0.874618307157526,3.35805912587893,1.54756860224,6.1178996584638,1.38656545718239,-1.7156409977476,1.41651118875094,-0.542116417156177,"high"
"CRC0079LMH0000000000R02000",3.44399466514812,2.22444155912008,4.6243145102312,2.6216780605778,6.03781854165766,2.30596079690223,0.688313899522475,2.71489426270055,0.403382175064213,"high"
"CRC0081LMH0000000000R03000",3.62358884927306,1.94014129122915,4.28482668299483,2.76811530864104,6.10355235832114,2.49165488806209,0.752522699676573,2.94596848532395,0.431253118175477,"high"
"CRC0094LMH0000000000R01000",3.58452673138976,2.36367628491133,3.17167075052704,2.28456524914573,6.32181516266844,2.12034224938602,-0.226974455854656,2.11555612902944,0.120954675875149,"low"
"CRC0095LMH0000000000R01000",3.61913459525876,2.16458487241256,4.44497945842737,2.79863481856004,5.92212195196053,2.44035496255361,0.925936295412672,2.93090610225097,0.448253337285708,"low"
"CRC0098LMH0000000000R01000",3.70526306826602,2.21014815244883,4.43320817668211,2.95504556387299,6.0791697339523,2.46552507132236,0.820193636092958,3.06484647440567,0.443335809504304,"high"
"CRC0102LMH0000000000R06000",4.00789086543241,2.14314654624762,4.46134164545085,2.85103443953937,6.11930224207271,2.4588377715145,0.813642831595962,3.11389417508132,0.400659460112222,"high"
"CRC0115LMH0000000000R01000",3.5846141936554,2.62650122294849,4.532206938365,2.87812543456355,6.08433860164184,2.48518160981796,0.991812250113517,2.89238909220116,0.541330595669058,"low"
"CRC0123LMH0000000000R01000",3.47519557299555,2.05683175856976,4.43154724256754,2.62552216418698,6.01623079977557,2.29876082763425,0.798519675094491,2.60793685921452,0.290529258523791,"high"
"CRC0150LMH0000000000R01000",3.00274878968266,1.89808408678544,4.40265551665114,2.35560908469129,6.02913602353574,2.00475356183724,0.366815763851474,2.14045219497798,0.10841498402625,"low"
"CRC0165LMH0000000000R01000",3.64753003067041,2.44266212529122,4.62857125647793,3.12967710371382,6.30259504494938,2.63125431729863,0.983775693474957,3.19112089696003,0.618035950325815,"low"
"CRC0166LMH0000000000R02000",3.94256919323298,2.07810534800425,3.49505200501603,2.69648965258162,6.3185377756438,2.31542642924841,-0.00548728048378955,2.4758800506354,0.345403535238952,"high"
"CRC0207LMH0000000000R01000",3.81741859069504,2.1321154836811,4.28086331640591,2.98531744641561,6.12514727758344,2.55362145155132,0.847002003794975,2.89490862241043,0.505779526940613,"low"
"CRC0219LMH0000000000R05000",3.23241070664114,1.98074878452048,4.63899989191598,2.91542727254105,5.9263360348354,2.39522596361464,0.804880411143809,2.86406551435374,0.372688728299315,"high"
"CRC0262LMH0000000000R01000",3.59672105983812,2.08983551470113,4.23971053174181,2.82227350302214,6.02553953676244,2.42688662729179,0.897551488908617,2.72269867826303,0.367424515894755,"high"
"CRC0291LMH0000000000R01000",3.79233958819783,2.35157527468215,4.51588115691052,3.15616384003906,6.39624325362234,2.64612769322346,1.14857006251399,3.12743540727025,0.558099999250739,"low"
"CRC0306LMH0000000000R01000",4.79181634009851,2.70525363854676,3.72768169739812,3.03572065471555,6.07501304409686,2.72832600745924,1.17553632971284,2.00709784187629,0.745400610396608,"high"
"CRC0333LMH0000000000R01000",2.59609744189429,2.4318513843722,3.3515140690408,3.24510220998517,6.03197997346993,2.68418729071966,-0.0706331001302107,2.84510429018232,0.291592898085606,"low"
"CRC0356LMH0000000000R01000",3.60188252116891,1.68676425314838,3.80259155769803,2.49256593325979,6.04608813605996,1.95958088886336,-0.473660739076118,2.13479261399479,0.171320721903504,"high"
"CRC0399LMH0000000000R01000",3.26453784562994,2.05131662327507,4.48439236784333,2.91478078163589,5.92490001946961,2.28871784910481,0.73353170171905,2.69620881412654,0.271989241853088,"high"
"CRC0404LMH0000000000R09000",3.72097522967486,2.3970475037873,4.65045415674599,2.86314383242365,6.03664462639312,2.53876664690754,0.957972840109106,3.08926593844597,0.492404279648045,"low"
"CRC0419LMH0000000000R09000",3.77471123020336,2.32418552967935,4.62706506322162,3.01031548034755,6.21453998589113,2.48113551443768,1.01472717485118,3.15008115021391,0.464235724260456,"high"
"CRC0431LMH0000000000R02000",4.35633517875887,2.25870916674563,4.50484566505352,3.11465125851492,6.1432327389871,2.54343155004832,1.1572343842789,3.15848797466249,0.518564622265772,"low"
"CRC0438LMH0000000000R05000",3.03504049526449,2.44266101583583,4.60523216194046,2.82517182180418,6.27005176033244,2.58928694863683,0.857949743255729,2.77119179337571,0.497698062718701,"high"
"CRC0440LMH0000000000R05000",3.86038508182164,2.25906146766248,4.43608520018237,3.02245398628422,6.14319581345954,2.52140963867571,0.932467761062183,2.99829228607469,0.51910864576804,"low"
"CRC0456LMH0000000000R01000",3.75166158807578,2.40220685869446,4.61306662729537,3.00525994366055,6.21317469575972,2.52281403174771,0.98139641639246,3.08099962423246,0.488288688606164,"low"
"CRC0468LMH0000000000R01000",2.83985131453112,1.6787470399367,3.87505930185696,2.18774482872656,6.01375893173051,1.74241642785425,-0.601560162494886,2.03795462338452,-0.0958275680759071,"high"
"CRC0481LMH0000000000R01000",3.95961091657567,2.99306800564154,5.06653191143974,3.46567353453135,6.62743432292085,2.73671582925796,1.24275792494272,3.74615808845595,0.794842650497252,"low"
"CRC0490LMH0000000000R09000",3.8763231404777,2.22115455469532,4.53914552266404,2.92102481500896,6.07722499302789,2.4763253486933,0.944953027446145,2.9209310636064,0.433855054555951,"low"
"CRC0493LMH0000000000R05000",3.96432798339238,2.46439220884543,4.63651721153189,3.12727556437682,6.12270634287301,2.69355945531958,1.15923320282475,3.34950340832917,0.693226002412775,"low"
"CRC0498LMH0000000000R01000",2.39630392631152,1.47327032905087,3.96226218982172,2.19761988963,5.97556149391578,1.5808387971842,-0.982852986382397,1.97846448859747,-0.22880464795704,"high"
"CRC0516LMH0000000000R05000",3.85719018371526,2.42846332966257,4.68861811338358,3.06420283832193,6.0383421931757,2.56575369915165,1.02069962978712,3.00272115630947,0.560717962230355,"low"
"CRC0539LMH0000000000R01000",3.47443478086283,1.90789026922136,4.35763689147998,2.71875716006624,6.13439246853333,2.26500295560373,0.509729539294018,2.96853389872187,0.28311171593904,"high"
"CRC0549LMH0000000000R02000",2.85204106099597,1.7484143324582,3.53906032147091,2.54153334026193,5.72824818634463,1.96789683073231,-0.705557284808398,1.9891381815524,-0.0239994725993906,"high"
"CRC0574LMH0000000000R01000",3.74266529475838,2.19800608916769,3.73858067572791,2.92008558455897,6.11242594874692,2.37243087424916,0.102486731818088,2.13698749528013,0.280783542677417,"high"
"CRC0771LMH0000000000R05000",3.60403524211949,2.32440390722807,4.59968086090972,2.89945903827905,6.14431072600943,2.42389268447203,0.902818814664524,2.8781134189267,0.420738027973589,"low"
"CRC0772LMH0000000000R01000",3.98852940552812,2.52717227494626,4.62707406871042,2.9872424155977,6.12783167014718,2.58679132335753,1.07818094787412,2.96240394876481,0.604067887371053,"low"
"CRC1182LMH0000000000R01000",3.83856580022456,1.86897917726443,3.84696390532224,2.48878934671405,6.28781734177409,2.36688057600562,0.626926999103466,2.84168749678284,0.296106921501807,"high"
"CRC1241LMH0000000000R05000",3.62176543899994,1.74484072006247,4.34222998835815,2.35099985902649,5.83974978007243,2.16737217528901,0.314793403951326,2.52489055668034,0.193493594807116,"high"
"CRC1257LMH0000000000R01000",3.71060390636804,2.5220973632573,4.69538624578762,3.11776432560135,6.16327389351448,2.57745105706496,1.20546711735227,3.08400234345399,0.540086993918119,"low"
"CRC1264LMH0000000000R01000",3.66373235850771,2.27149771177186,4.64129731234025,3.0455264842885,6.21509026040728,2.52275119939602,1.05354959084561,3.17710832946072,0.492901942929137,"low"
"CRC1313LMH0000000000R05000",3.94656524841975,2.20625385640078,4.58189067130285,3.05052037749837,6.05243802896709,2.57102007514321,1.20936139117288,3.06506155064488,0.541709907654433,"high"
"CRC1331LMH0000000000R09000",3.76760558862234,2.11560767443695,4.60445363820626,2.73747064139229,5.9562485662878,2.37905542311879,0.883129765856161,2.80166744768475,0.382960700497146,"low"
"CRC1350LMH0000000000R01000",3.85018268175349,2.20086330861283,4.69213368771849,3.08549260670838,6.14318915212327,2.4934268240939,1.13376069296523,3.0830240526636,0.531749376238611,"high"
"CRC1360LMH0000000000R09000",3.43466383192243,2.20483513874879,4.39589056439915,2.94759872468808,6.17215725942581,2.35883493317727,0.735843822376063,2.87826944608009,0.390291774005853,"low"
"CRC1451LMH0000000000R01000",3.27313890912587,2.05199766148348,4.59836565522031,2.85412678667195,5.93576411299398,2.37965046733347,0.842382848996015,2.85046540266073,0.373835871648857,"high"
"CRC1472LMH0000000000R01000",3.34326631512052,2.10504147381889,4.44611273333045,3.01796807851894,6.17374692399355,2.62048136105287,1.27630592869807,2.91398289169791,0.540122638741346,"high"
"CRC1473LMH0000000000R01000",3.69303862499257,2.31911668037179,4.59567033101239,2.92225177535378,6.18465116380606,2.45508686062483,0.906797739309621,3.03065458799516,0.523469449891742,"low"
"CRC1502LMH0000000000R02000",3.42397816067439,2.13419078991363,4.7263754785188,3.06287293328619,5.89254475369101,2.46230524539673,1.04945638608048,3.08512085557228,0.439020779091441,"high"
"CRC1562LMH0000000000R01000",4.13951632178367,1.1497123251689,4.49229925623121,2.34316619161972,5.92339493360272,2.02582849458465,-0.102889170677939,2.45571708222265,0.00749713693306209,"low"
"CRC1586LMH0000000000R01000",3.36926465324799,2.34104785717636,4.74909911791973,3.04065214979702,6.00662630459704,2.49777920025566,0.97669757233815,3.03737913429782,0.471929714379722,"high"
"CRC1599LMH0000000000R05000",3.29316739297374,2.04289815061937,4.50313565890905,2.72865266378172,6.03119502951486,2.2880144952816,0.651173084911758,2.7526387323283,0.279686749930838,"high"
"CRC1605LMH0000000000R01000",3.71589530456967,2.52105341209394,4.84393201593904,3.01776250810364,6.08740797014409,2.518715009538,0.938789670191893,2.99351336136386,0.55672943043109,"low"
"CRC1620LMH0000000000R02000",3.6050022697202,2.17731586319072,4.54921454465032,3.01962919000662,6.10440543879741,2.53764448103466,1.03286316704194,3.00422530373261,0.463459445980236,"low"
"CRC1624LMH0000000000R01000",2.80362347591118,1.265256296589,3.34648936510261,1.76019482845717,5.90327986638823,1.40314355737117,-1.21865688104832,1.40931794391585,-0.518656216896572,"high"
"CRC1629LMH0000000000R01000",3.7702712102771,2.27018264912448,4.57209815200152,2.90511747229602,6.22224662206005,2.46971012953191,1.25339443415529,3.05967029416614,0.37746918592382,"high"
"CRC1917LMH0000000000R01000",3.788891969271,2.17068436329088,4.29688298588785,2.90374173848693,5.9720251253638,2.52613153311566,0.99867754787379,2.84733137483626,0.405191467823086,"low"
