"","sample_id","group","batch"
"GSM2179087","GSM2179087","primary","GEO"
"GSM2179088","GSM2179088","metastasis","GEO"
"GSM2179089","GSM2179089","primary","GEO"
"GSM2179090","GSM2179090","primary","GEO"
"GSM2179091","GSM2179091","primary","GEO"
"GSM2179092","GSM2179092","metastasis","GEO"
"GSM2179093","GSM2179093","primary","GEO"
"GSM2179094","GSM2179094","primary","GEO"
"GSM2179095","GSM2179095","primary","GEO"
"GSM2179096","GSM2179096","metastasis","GEO"
"GSM2179097","GSM2179097","primary","GEO"
"GSM2179098","GSM2179098","primary","GEO"
"GSM2179099","GSM2179099","primary","GEO"
"GSM2179100","GSM2179100","primary","GEO"
"GSM2179101","GSM2179101","primary","GEO"
"GSM2179102","GSM2179102","primary","GEO"
"GSM2179103","GSM2179103","primary","GEO"
"GSM2179104","GSM2179104","primary","GEO"
"GSM2179105","GSM2179105","primary","GEO"
"GSM2179106","GSM2179106","primary","GEO"
"GSM2179107","GSM2179107","metastasis","GEO"
"GSM2179108","GSM2179108","primary","GEO"
"GSM2179109","GSM2179109","primary","GEO"
"GSM2179110","GSM2179110","primary","GEO"
"GSM2179111","GSM2179111","primary","GEO"
"GSM2179112","GSM2179112","primary","GEO"
"GSM2179113","GSM2179113","primary","GEO"
"GSM2179114","GSM2179114","metastasis","GEO"
"GSM2179115","GSM2179115","primary","GEO"
"GSM2179116","GSM2179116","primary","GEO"
"GSM2179117","GSM2179117","metastasis","GEO"
"GSM2179118","GSM2179118","metastasis","GEO"
"GSM2179119","GSM2179119","primary","GEO"
"GSM2179120","GSM2179120","primary","GEO"
"GSM2179121","GSM2179121","primary","GEO"
"GSM2179122","GSM2179122","primary","GEO"
"GSM2179123","GSM2179123","primary","GEO"
"GSM2179124","GSM2179124","primary","GEO"
"GSM2179125","GSM2179125","metastasis","GEO"
"GSM2179126","GSM2179126","primary","GEO"
"GSM2179127","GSM2179127","primary","GEO"
"GSM2179128","GSM2179128","metastasis","GEO"
"GSM2179129","GSM2179129","primary","GEO"
"GSM2179130","GSM2179130","primary","GEO"
"GSM2179131","GSM2179131","primary","GEO"
"GSM2179132","GSM2179132","primary","GEO"
"GSM2179133","GSM2179133","primary","GEO"
"GSM2179134","GSM2179134","metastasis","GEO"
"GSM2179135","GSM2179135","metastasis","GEO"
"GSM2179136","GSM2179136","metastasis","GEO"
"GSM2179137","GSM2179137","primary","GEO"
"GSM2179138","GSM2179138","primary","GEO"
"GSM2179139","GSM2179139","primary","GEO"
"GSM2179140","GSM2179140","primary","GEO"
"GSM2179141","GSM2179141","primary","GEO"
"GSM2179142","GSM2179142","primary","GEO"
"GSM2179143","GSM2179143","primary","GEO"
"GSM2179144","GSM2179144","metastasis","GEO"
"GSM2179145","GSM2179145","primary","GEO"
"GSM2179146","GSM2179146","primary","GEO"
"GSM2179147","GSM2179147","primary","GEO"
"GSM2179148","GSM2179148","metastasis","GEO"
"GSM2179149","GSM2179149","metastasis","GEO"
"GSM2179150","GSM2179150","primary","GEO"
"GSM2179151","GSM2179151","primary","GEO"
