STANDARD_NAME	KEGG_RETINOL_METABOLISM
SYSTEMATIC_NAME	M9488
COLLECTION	C2:CP:KEGG_LEGACY
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_RETINOL_METABOLISM
NAMESPACE	Human_NCBI_Gene_ID
DESCRIPTION_BRIEF	Retinol metabolism
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	KEGG
CONTRIBUTOR_ORG	Kyoto Encyclopedia of Genes and Genomes
EXACT_SOURCE	hsa00830
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	http://www.genome.jp/pathway/hsa00830
SOURCE_MEMBERS	10170,10720,10901,10941,124,125,126,127,128,130,131,145226,1543,1544,1548,1549,1551,1553,1555,1557,1558,1559,1562,157506,1576,1577,1579,158835,1592,216,284541,317749,340665,50700,51109,53630,54490,54575,54576,54577,54578,54579,54600,54657,54658,54659,54884,56603,5959,6121,64816,7363,7364,7365,7366,7367,79799,8228,84649,8608,8694,8854,9227,9249
GENE_SYMBOLS	DHRS9,UGT2B11,DHRS4,UGT2A1,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,RDH12,CYP1A1,CYP1A2,CYP2A6,CYP2A7,CYP3A7,CYP2A13,CYP2B6,CYP2C19,CYP2C8,CYP2C9,CYP2C18,RDH10,CYP3A4,CYP3A5,CYP4A11,AWAT2,CYP26A1,ALDH1A1,CYP4A22,DHRS4L2,CYP26C1,RDH8,RDH11,BCO1,UGT2B28,UGT1A10,UGT1A8,UGT1A7,UGT1A6,UGT1A5,UGT1A9,UGT1A4,UGT1A1,UGT1A3,RETSAT,CYP26B1,RDH5,RPE65,CYP3A43,UGT2B4,UGT2B7,UGT2B10,UGT2B15,UGT2B17,UGT2A3,PNPLA4,DGAT2,RDH16,DGAT1,ALDH1A2,LRAT,DHRS3
FOUNDER_NAMES	
