STANDARD_NAME	KEGG_TRYPTOPHAN_METABOLISM
SYSTEMATIC_NAME	M980
COLLECTION	C2:CP:KEGG_LEGACY
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_TRYPTOPHAN_METABOLISM
NAMESPACE	Human_NCBI_Gene_ID
DESCRIPTION_BRIEF	Tryptophan metabolism
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	KEGG
CONTRIBUTOR_ORG	Kyoto Encyclopedia of Genes and Genomes
EXACT_SOURCE	hsa00380
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	http://www.genome.jp/pathway/hsa00380
SOURCE_MEMBERS	10352,11185,121278,125061,130013,15,1543,1544,1545,1644,169355,1892,1962,217,219,223,224,23498,259307,26,2639,3030,3033,316,3620,38,39,4128,4129,438,4967,501,51166,55753,6999,7166,7453,847,8564,8942
GENE_SYMBOLS	WARS2,INMT,TPH2,AFMID,ACMSD,AANAT,CYP1A1,CYP1A2,CYP1B1,DDC,IDO2,ECHS1,EHHADH,ALDH2,ALDH1B1,ALDH9A1,ALDH3A2,HAAO,IL4I1,AOC1,GCDH,HADHA,HADH,AOX1,IDO1,ACAT1,ACAT2,MAOA,MAOB,ASMT,OGDH,ALDH7A1,AADAT,OGDHL,TDO2,TPH1,WARS1,CAT,KMO,KYNU
FOUNDER_NAMES	
